channel_index,min,max,mean,std,n_finite,n_nan,n_inf
0,0.000000,3.105740,0.925704,0.140988,62242816,0,0
1,0.000000,19.761549,0.922701,0.220698,62242816,0,0
2,0.000000,31.551830,0.954109,0.318425,62242816,0,0
3,0.000000,33.160150,0.959639,0.572375,62242816,0,0
4,0.000000,9.972776,1.022790,0.460096,62242816,0,0
5,0.000000,4.144120,1.042612,0.446514,62242816,0,0
6,0.000000,3.692531,1.035844,0.465075,62242816,0,0
7,0.000000,8.312891,1.046756,0.494845,62242816,0,0
8,0.000000,3.548563,1.169941,0.513311,62242816,0,0
9,0.000000,21.441501,1.173598,0.683558,62242816,0,0
10,0.000000,5.786442,1.049497,0.532293,62242816,0,0
11,0.000000,19.661323,1.037032,0.662800,62242816,0,0
12,0.000000,4.040945,1.251108,0.678369,62242816,0,0
13,0.000000,5.121427,1.649543,1.072711,62242816,0,0
