thresholds,dice,iou,precision,recall,f1,tp,fp,fn,tn
0.1,0.5665121071612571,0.39519838987924094,0.4855881130507066,0.6798021674303586,0.5665121071612571,46733,49507,22012,3895828
0.15,0.5750755626608048,0.4035831989341561,0.5038353376300787,0.6697796203360245,0.575075562660805,46044,45343,22701,3899992
0.2,0.5811394415702885,0.40958178597440903,0.5175195419014724,0.662593643174049,0.5811394415702884,45550,42466,23195,3902869
0.25,0.5859669168246384,0.4143940646061741,0.5291296854298813,0.6564841079351226,0.5859669168246384,45130,40161,23615,3905174
0.3,0.5900576083947427,0.41849767189632925,0.5394786004411286,0.6511018983198779,0.5900576083947427,44760,38209,23985,3907126
0.35,0.5933141672795347,0.4217815758704931,0.548976183111661,0.645443304967634,0.5933141672795347,44371,36454,24374,3908881
0.4,0.596054377555718,0.42455659822349956,0.5574889505211301,0.640352025601862,0.5960543775557181,44021,34942,24724,3910393
0.45,0.5979649868100997,0.4264978985436419,0.565220207253886,0.6347370717870391,0.5979649868100997,43635,33565,25110,3911770
0.5,0.600252504231527,0.4288291324300483,0.573722666454496,0.6293548621717943,0.6002525042315269,43265,32146,25480,3913189
0.55,0.6024013481252634,0.4310259939913387,0.5822463522225992,0.6240017455814968,0.6024013481252634,42897,30778,25848,3914557
0.6,0.6040385928961749,0.4327043640478302,0.5911920778840931,0.6174558149683613,0.6040385928961749,42447,29352,26298,3915983
0.65,0.6054055614078125,0.4341086875543231,0.6006041258070519,0.6102843843188596,0.6054055614078124,41954,27899,26791,3917436
0.7,0.6066170813028982,0.43535561772934767,0.6112079149438866,0.6020946977962034,0.6066170813028983,41391,26329,27354,3919006
0.75,0.6077193716338863,0.43649201120255815,0.6246046125971194,0.591723034402502,0.6077193716338863,40678,24448,28067,3920887
0.8,0.6085166306959943,0.43731505824633965,0.6420692217000178,0.5782966033893374,0.6085166306959943,39755,22162,28990,3923173
0.85,0.6083653199319378,0.43715878070973613,0.6671584794306544,0.5590952069241399,0.6083653199319379,38435,19175,30310,3926160
0.9,0.6009637467534095,0.42955552106588984,0.7055455329829791,0.5233835188013674,0.6009637467534094,35980,15016,32765,3930319
